review,score,cleaning,baku,slang_replaced
I buy these regularly for my kiddos because they insist the little bags taste better than the big bag ðŸ™„ But at least I can get the little bags at a decent price! I agree they are always fresh and this ends up being a great buy - and easier to travel with the smaller bags too!,5,i buy these regularly for my kiddos because they insist the little bags taste better than the big bag      but at least i can get the little bags at a decent price  i agree they are always fresh and this ends up being a great buy   and easier to travel with the smaller bags too ,i buy these regularly for my kiddos because they insist the little bags taste better than the big bag but at least i can get the little bags at a decent price i agree they are always fresh and this ends up being a great buy and easier to travel with the smaller bags too,[]
Perfect size and a good price.  Great for lunches for kids or parties or a  beach day!,5,perfect size and a good price   great for lunches for kids or parties or a  beach day ,perfect size and a good price great for lunches for kids or parties or a beach day,[]
"Product expires next month, not fresh at all",1,product expires next month  not fresh at all,product expires next month not fresh at all,[]
I ordered these in mid-May for a graduation party Memorial Day weekend. They expired in April. :(,1,i ordered these in mid may for a graduation party memorial day weekend  they expired in april    ,i ordered these in mid may for a graduation party memorial day weekend they expired in april,[]
The chips were stalled.,1,the chips were stalled ,the chips were stalled,[]
I like the price of them and good for school lunch,5,i like the price of them and good for school lunch,i like the price of them and good for school lunch,[]
"Most of the chips are just plain tortilla chips, thereâ€™s so little seasoning in these that eating a bag becomes disappointing. Every maybe 1 in five or six bags there will be a decently seasoned chip.",1,most of the chips are just plain tortilla chips  there   s so little seasoning in these that eating a bag becomes disappointing  every maybe  in five or six bags there will be a decently seasoned chip ,most of the chips are just plain tortilla chips there s so little seasoning in these that eating a bag becomes disappointing every maybe in five or six bags there will be a decently seasoned chip,[]
"Get in ma belly!!! Dang these bags are perfect for anytime snacking, in kids lunches, picnics. You name it. Only suggestion is to hide box or you can kiss your summer bod goodbye.Well packaged, fresh, perfect on the go size.",5,get in ma belly    dang these bags are perfect for anytime snacking  in kids lunches  picnics  you name it  only suggestion is to hide box or you can kiss your summer bod goodbye well packaged  fresh  perfect on the go size ,get in ma belly dang these bags are perfect for anytime snacking in kids lunches picnics you name it only suggestion is to hide box or you can kiss your summer bod goodbye well packaged fresh perfect on the go size,[]
This last order we got. Majority of the bags were deflated and stale.,1,this last order we got  majority of the bags were deflated and stale ,this last order we got majority of the bags were deflated and stale,[]
"My smart pop popcorn was stale, I was hoping it was just the first bag but the others that were eaten were stale also. I had purchased them for a camping trip and after friends had first bag no one wanted another.",1,my smart pop popcorn was stale  i was hoping it was just the first bag but the others that were eaten were stale also  i had purchased them for a camping trip and after friends had first bag no one wanted another ,my smart pop popcorn was stale i was hoping it was just the first bag but the others that were eaten were stale also i had purchased them for a camping trip and after friends had first bag no one wanted another,[]
"I love this low-calorie, tasty, satisfying popcorn. Makes a great snack for anyone counting calories.",5,i love this low calorie  tasty  satisfying popcorn  makes a great snack for anyone counting calories ,i love this low calorie tasty satisfying popcorn makes a great snack for anyone counting calories,[]
I like the quality of the popcorn and the perfect portion packaging.,5,i like the quality of the popcorn and the perfect portion packaging ,i like the quality of the popcorn and the perfect portion packaging,[]
"The first 2 boxes of 40 were fine but this time 2 of the bags were open on the bottom and there was some loose, stale popcorn in the box. There was no damage to the box so this must have happened at the factory. The white cheddar popcorn is awesome but it's not worth it if I can't count on receiving edible product.",3,the first  boxes of  were fine but this time  of the bags were open on the bottom and there was some loose  stale popcorn in the box  there was no damage to the box so this must have happened at the factory  the white cheddar popcorn is awesome but it s not worth it if i can t count on receiving edible product ,the first boxes of were fine but this time of the bags were open on the bottom and there was some loose stale popcorn in the box there was no damage to the box so this must have happened at the factory the white cheddar popcorn is awesome but it s not worth it if i can t count on receiving edible product,[]
Arrived as stated bags were not crushed. Itâ€™s a favorite snack at my house. Low in calories and personal size bags are perfect.,5,arrived as stated bags were not crushed  it   s a favorite snack at my house  low in calories and personal size bags are perfect ,arrived as stated bags were not crushed it s a favorite snack at my house low in calories and personal size bags are perfect,[]
"I have ordered this popcorn a few times. I enjoy the flavor, not to bad on carbs either. The low rating is due to the 7 dollar price increase. I understand prices will go up, but not by 7 bucks overnight!  I will not order from this seller again unless they decide to go back down on the huge price increase.",2,i have ordered this popcorn a few times  i enjoy the flavor  not to bad on carbs either  the low rating is due to the  dollar price increase  i understand prices will go up  but not by  bucks overnight   i will not order from this seller again unless they decide to go back down on the huge price increase ,i have ordered this popcorn a few times i enjoy the flavor not to bad on carbs either the low rating is due to the dollar price increase i understand prices will go up but not by bucks overnight i will not order from this seller again unless they decide to go back down on the huge price increase,[]
"They arrived in May, ""Guaranteed Fresh ....until 4 July 2023.""  we opened the carton. they are stale.",1,they arrived in may   guaranteed fresh     until  july     we opened the carton  they are stale ,they arrived in may guaranteed fresh until july we opened the carton they are stale,[]
ad shows a SEA SALT variety. NONE ! MISLEADING.,1,ad shows a sea salt variety  none   misleading ,ad shows a sea salt variety none misleading,[]
The box it came in was busted & half of the bags were busted & not eligible for refund!!!!,1,the box it came in was busted   half of the bags were busted   not eligible for refund    ,the box it came in was busted half of the bags were busted not eligible for refund,[]
"As always this cheese flavored popcorn never disappoints! This particular item comes with 40 small personal sized bags, which is perfect to keep yourself to a predetermined amount, share with others, or for ease of storage. Highly recommend, Iâ€™ve bought multiple times before and will be buying again.",5,as always this cheese flavored popcorn never disappoints  this particular item comes with  small personal sized bags  which is perfect to keep yourself to a predetermined amount  share with others  or for ease of storage  highly recommend  i   ve bought multiple times before and will be buying again ,as always this cheese flavored popcorn never disappoints this particular item comes with small personal sized bags which is perfect to keep yourself to a predetermined amount share with others or for ease of storage highly recommend i ve bought multiple times before and will be buying again,[]
"I received the chips on May 24th and they expire on July 18th. The chips were a little stale but still ok to eat. Guess Iâ€™ll be eating these up quickly. Honestly, you shouldnâ€™t sell chips in this quantity with expiration dates so close to the purchase date.",2,i received the chips on may th and they expire on july th  the chips were a little stale but still ok to eat  guess i   ll be eating these up quickly  honestly  you shouldn   t sell chips in this quantity with expiration dates so close to the purchase date ,i received the chips on may th and they expire on july th the chips were a little stale but still okay to eat guess i ll be eating these up quickly honestly you shouldn t sell chips in this quantity with expiration dates so close to the purchase date,['ok']
"A huge waste of plastic etc., very bad for the earth and for health, but at least I don't end up eating a whole ""party size"" bag.YMMV.",5,a huge waste of plastic etc   very bad for the earth and for health  but at least i don t end up eating a whole  party size  bag ymmv ,a huge waste of plastic etc very bad for the earth and for health but at least i don t end up eating a whole party size bag ymmv,[]
The chips arrived  an they expire July 2023.I just got them May 2023.I am very disappointed ðŸ˜žThey are  stale,1,the chips arrived  an they expire july  i just got them may  i am very disappointed     they are  stale,the chips arrived an they expire july i just got them may i am very disappointed they are stale,[]
"I recieved my order on May 26, 2023. Best Buy purchase date was May 9, 2023. That is unexceptable! Very diapointed!",1,i recieved my order on may     best buy purchase date was may     that is unexceptable  very diapointed ,i recieved my order on may best buy purchase date was may that is unexceptable very diapointed,[]
Just threw out an order that expired 2 years ago! I have another one expiring in a month.,2,just threw out an order that expired  years ago  i have another one expiring in a month ,just threw out an order that expired years ago i have another one expiring in a month,[]
They taste old. Waste of money.,2,they taste old  waste of money ,they taste old waste of money,[]
"Today is 5.22.23. I just ate a pack of these with date = 10/2021!Crisp, no rancid oil, Yummy!Buy and enjoy!I will add that I store them in a cool (about 68 F) dark place (darkness is from storing in shipping box, flaps closed)*** I buy my food. This is not a freebie for review situation!I just noticed so many concerns about the dates. Hope this helps!",5,today is     i just ate a pack of these with date     crisp  no rancid oil  yummy buy and enjoy i will add that i store them in a cool  about  f  dark place  darkness is from storing in shipping box  flaps closed     i buy my food  this is not a freebie for review situation i just noticed so many concerns about the dates  hope this helps ,today is i just ate a pack of these with date crisp no rancid oil yummy buy and enjoy i will add that i store them in a cool about f dark place darkness is from storing in shipping box flaps closed i buy my food this is not a freebie for review situation i just noticed so many concerns about the dates hope this helps,[]
Love this just enough  .,5,love this just enough   ,love this just enough,[]
"I love these, but there was less than a month before the â€œbest byâ€ date when received.  Not only that, but this order - Iâ€™ve got them on subscribe and save - tasted of rancid oil.  Not sure if thatâ€™s a function of the date or if it was just a bad batch, but this order was inedible!",1,i love these  but there was less than a month before the    best by    date when received   not only that  but this order   i   ve got them on subscribe and save   tasted of rancid oil   not sure if that   s a function of the date or if it was just a bad batch  but this order was inedible ,i love these but there was less than a month before the best by date when received not only that but this order i ve got them on subscribe and save tasted of rancid oil not sure if that s a function of the date or if it was just a bad batch but this order was inedible,[]
About 15-20 bags were already opened. It looked like they might have gotten cut in the box,4,about   bags were already opened  it looked like they might have gotten cut in the box,about bags were already opened it looked like they might have gotten cut in the box,[]
My favorite for many years,5,my favorite for many years,my favorite for many years,[]
"My long time FAVORITE Extra Sugar Free stick-gum Flavor, and one that i ALWAYS prefer to buy, long as the price doesn't get too far above what other Extra Flavors 'same boxed packs' cost.  Still not something i should chew too many times a day but, i do sometimes lose track, knowing that 'synthetic' sweeteners while low in carbs, still can (long term), damage our internal health.  Regardless, this is a Great tasting sugar-free Gum!!",5,my long time favorite extra sugar free stick gum flavor  and one that i always prefer to buy  long as the price doesn t get too far above what other extra flavors  same boxed packs  cost   still not something i should chew too many times a day but  i do sometimes lose track  knowing that  synthetic  sweeteners while low in carbs  still can  long term   damage our internal health   regardless  this is a great tasting sugar free gum  ,my long time favorite extra sugar free stick gum flavor and one that i always prefer to buy long as the price doesn t get too far above what other extra flavors same boxed packs cost still not something i should chew too many times a day but i do sometimes lose track knowing that synthetic sweeteners while low in carbs still can long term damage our internal health regardless this is a great tasting sugar free gum,[]
Great amount for a great price,5,great amount for a great price,great amount for a great price,[]
I love the taste and I chewed the gum myself.,5,i love the taste and i chewed the gum myself ,i love the taste and i chewed the gum myself,[]
Good value in bulk.,5,good value in bulk ,good value in bulk,[]
Perfect,5,perfect,perfect,[]
I love this gum. It lasts a long time and tastes great!,5,i love this gum  it lasts a long time and tastes great ,i love this gum it lasts a long time and tastes great,[]
"this is pretty much the same exact thing as the things you'd see at your local gas station or convenience store, but it is really nice to be able to have a good amount of gum prepared incase one case runs out",5,this is pretty much the same exact thing as the things you d see at your local gas station or convenience store  but it is really nice to be able to have a good amount of gum prepared incase one case runs out,this is pretty much the same exact thing as the things you d see at your local gas station or convenience store but it is really nice to be able to have a good amount of gum prepared incase one case runs out,[]
Great price for this gum. Love this flavor. Will repurchase.,5,great price for this gum  love this flavor  will repurchase ,great price for this gum love this flavor will repurchase,[]
My daughters favorite gum and at an affordable price.,5,my daughters favorite gum and at an affordable price ,my daughters favorite gum and at an affordable price,[]
"Will not purchase again, item is not fresh , slightly stale. The expiration date is less than a month and I just received a couple days ago. Disappointing.",1,will not purchase again  item is not fresh   slightly stale  the expiration date is less than a month and i just received a couple days ago  disappointing ,will not purchase again item is not fresh slightly stale the expiration date is less than a month and i just received a couple days ago disappointing,[]
Great product,5,great product,great product,[]
The puffs were expired the same month. Jan 2023,1,the puffs were expired the same month  jan ,the puffs were expired the same month jan,[]
"Seriously?! 14 days to eat 40 bags of Cheetos before they expire?????Opened one and it was already stale. Glad itâ€™s the end of the school year, will be cancelling my auto delivery. Buy with caution!",1,seriously    days to eat  bags of cheetos before they expire     opened one and it was already stale  glad it   s the end of the school year  will be cancelling my auto delivery  buy with caution ,seriously days to eat bags of cheetos before they expire opened one and it was already stale glad it s the end of the school year will be cancelling my auto delivery buy with caution,[]
Within 1 months of expiration!!!! Ridiculous!!!!!,1,within  months of expiration     ridiculous     ,within months of expiration ridiculous,[]
The only thing I dislike is the expiration date is 26 days away and I purchased for a graduation party in July.  Should have waited,4,the only thing i dislike is the expiration date is  days away and i purchased for a graduation party in july   should have waited,the only thing i dislike is the expiration date is days away and i purchased for a graduation party in july should have waited,[]
"I was so excited when these came as they are my faves. Unfortunately they were staled in taste, itâ€™s dated for Aug 1, 2023. The problem is the bags are slightly opened which cause them to become staled!",1,i was so excited when these came as they are my faves  unfortunately they were staled in taste  it   s dated for aug     the problem is the bags are slightly opened which cause them to become staled ,i was so excited when these came as they are my faves unfortunately they were staled in taste it s dated for aug the problem is the bags are slightly opened which cause them to become staled,[]
"Who doesn't love a big box of snacks? Cheetos are wonderfully fresh, popping with flavor.",5,who doesn t love a big box of snacks  cheetos are wonderfully fresh  popping with flavor ,who doesn t love a big box of snacks cheetos are wonderfully fresh popping with flavor,[]
"Wow I got ripped off, only 3 chips in one bag",1,wow i got ripped off  only  chips in one bag,wow i got ripped off only chips in one bag,[]
These were perfect for my hubbyâ€™s Easter basket,5,these were perfect for my hubby   s easter basket,these were perfect for my hubby s easter basket,[]
best candy,5,best candy,best candy,[]
"This candy is Definitely for children. My teenage daughter enjoyed every bite. I gave her my bag, to share with her friends.",3,this candy is definitely for children  my teenage daughter enjoyed every bite  i gave her my bag  to share with her friends ,this candy is definitely for children my teenage daughter enjoyed every bite i gave her my bag to share with her friends,[]
These are my absolute favorite!!!,5,these are my absolute favorite   ,these are my absolute favorite,[]
So good!!!,5,so good   ,so good,[]
Sour taste wrapped in sweet tiny bits. Whatâ€™s not to like about candy,5,sour taste wrapped in sweet tiny bits  what   s not to like about candy,sour taste wrapped in sweet tiny bits what s not to like about candy,[]
Delicious and priced right,5,delicious and priced right,delicious and priced right,[]
One of the best candies of all time. Love everything about these except that they arenâ€™t healthy. Please get rid of horrible dyes and then they would be perfect! Love the taste. Yum yum yum!!!,5,one of the best candies of all time  love everything about these except that they aren   t healthy  please get rid of horrible dyes and then they would be perfect  love the taste  yum yum yum   ,one of the best candies of all time love everything about these except that they aren t healthy please get rid of horrible dyes and then they would be perfect love the taste yum yum yum,[]
A sweet treat.,5,a sweet treat ,a sweet treat,[]
Iâ€™m not a big nerds fan but these are delicious and I canâ€™t stop eating them!!,5,i   m not a big nerds fan but these are delicious and i can   t stop eating them  ,i m not a big nerds fan but these are delicious and i can t stop eating them,[]
"These are great, sweet, tangy, chewy. Have to hide them from the kids",5,these are great  sweet  tangy  chewy  have to hide them from the kids,these are great sweet tangy chewy have to hide them from the kids,[]
"Commercial popper , lots of un popped kernels, took 3 shows to pop it all and did not notice a difference in in pop ratio to duds in bottom tray. I did expect a higher ratio for gourmet popcorn compared to the big bulk bags, will probably go back to the big bags and zip lock to keep the corn fresh once opening",4,commercial popper   lots of un popped kernels  took  shows to pop it all and did not notice a difference in in pop ratio to duds in bottom tray  i did expect a higher ratio for gourmet popcorn compared to the big bulk bags  will probably go back to the big bags and zip lock to keep the corn fresh once opening,commercial popper lots of un popped kernels took shows to pop it all and did not notice a difference in in pop ratio to duds in bottom tray i did expect a higher ratio for gourmet popcorn compared to the big bulk bags will probably go back to the big bags and zip lock to keep the corn fresh once opening,[]
"I made four 1/3 cup batches , all were tuff not tender and fluffy will not buy again.",2,i made four   cup batches   all were tuff not tender and fluffy will not buy again ,i made four cup batches all were tuff not tender and fluffy will not buy again,[]
"Using to make caramel and cinnamon corn. Have lots of unpopped kernels, in each attempt. Probably won't buy again. Will choose to use Kirkland microwave popcorn in the future.",3,using to make caramel and cinnamon corn  have lots of unpopped kernels  in each attempt  probably won t buy again  will choose to use kirkland microwave popcorn in the future ,using to make caramel and cinnamon corn have lots of unpopped kernels in each attempt probably won t buy again will choose to use kirkland microwave popcorn in the future,[]
Great pop corn probably on my 9 bottles you wonâ€™t be disappointed  better them the movie and healthier. Buy and try your love it ðŸ‘ðŸ‘ðŸ‘,5,great pop corn probably on my  bottles you won   t be disappointed  better them the movie and healthier  buy and try your love it             ,great pop corn probably on my bottles you won t be disappointed better them the movie and healthier buy and try your love it,[]
Great product and price is good.,5,great product and price is good ,great product and price is good,[]
Great low calorie snack,5,great low calorie snack,great low calorie snack,[]
kernels are old taste bad,1,kernels are old taste bad,kernels are old taste bad,[]
I like to make fresh popcorn. This container helps me to do that.,5,i like to make fresh popcorn  this container helps me to do that ,i like to make fresh popcorn this container helps me to do that,[]
"The popcorn was delivered fresh. Once popped, it was nice and fluffy, but had virtually no flavor. Needed to coat it with butter and salt.",4,the popcorn was delivered fresh  once popped  it was nice and fluffy  but had virtually no flavor  needed to coat it with butter and salt ,the popcorn was delivered fresh once popped it was nice and fluffy but had virtually no flavor needed to coat it with butter and salt,[]
"Very large, handy container. Easy to handle.Tasty, too!",5,very large  handy container  easy to handle tasty  too ,very large handy container easy to handle tasty too,[]
Personally the hard cookies are my favorite. Not too pleased that you get like one or two oat raisin in a box which is my spouse's favorite.,4,personally the hard cookies are my favorite  not too pleased that you get like one or two oat raisin in a box which is my spouse s favorite ,personally the hard cookies are my favorite not too pleased that you get like one or two oat raisin in a box which is my spouse s favorite,[]
The cookies were stuck together. They didnâ€™t come in the original box. The one I tasted was stale. I looked for an â€œout of date marking â€œ but couldnâ€™t find one on the cookies. I gave a 1 star because that arrived on time. Wonâ€™t order these again!,1,the cookies were stuck together  they didn   t come in the original box  the one i tasted was stale  i looked for an    out of date marking     but couldn   t find one on the cookies  i gave a  star because that arrived on time  won   t order these again ,the cookies were stuck together they didn t come in the original box the one i tasted was stale i looked for an out of date marking but couldn t find one on the cookies i gave a star because that arrived on time won t order these again,[]
Most of the cookies were good but a few of the packs seemed really old and hard for some reason,3,most of the cookies were good but a few of the packs seemed really old and hard for some reason,most of the cookies were good but a few of the packs seemed really old and hard for some reason,[]
High fructose,3,high fructose,high fructose,[]
These cookies have a home made taste and great price.,5,these cookies have a home made taste and great price ,these cookies have a home made taste and great price,[]
"Great taste,",5,great taste ,great taste,[]
Always so fun!,5,always so fun ,always so fun,[]
I loved all of them -no problems,5,i loved all of them  no problems,i loved all of them no problems,[]
"Old product , broken and crumbly .  Content  contains  G M O  will not  buy again  .  Old Bear here",1,old product   broken and crumbly    content  contains  g m o  will not  buy again     old bear here,old product broken and crumbly content contains g m o will not buy again old bear here,[]
"nice price fast friendly delivery right to my door  thanks, nice taste soft  fresh thanks",5,nice price fast friendly delivery right to my door  thanks  nice taste soft  fresh thanks,nice price fast friendly delivery right to my door thanks nice taste soft fresh thanks,[]
Nothing really to say - I love cashews!,5,nothing really to say   i love cashews ,nothing really to say i love cashews,[]
Very yummy and not as salty as the regular version.,5,very yummy and not as salty as the regular version ,very yummy and not as salty as the regular version,[]
Excellent quality cashews that tastes great.,5,excellent quality cashews that tastes great ,excellent quality cashews that tastes great,[]
"PLANTERS Deluxe Lightly Salted Whole Cashew are the only ones to buy ,Love the taste and you can't beat the price.",5,planters deluxe lightly salted whole cashew are the only ones to buy  love the taste and you can t beat the price ,planters deluxe lightly salted whole cashew are the only ones to buy love the taste and you can t beat the price,[]
I love Planters' crispy cashews but these aren't them.,3,i love planters  crispy cashews but these aren t them ,i love planters crispy cashews but these aren t them,[]
â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸Stars of Awesomeness! Perfect in Every Way! Thank You So Much!,5,                              stars of awesomeness  perfect in every way  thank you so much ,stars of awesomeness perfect in every way thank you so much,[]
Fresh,5,fresh,fresh,[]
Planters remains a very good product,5,planters remains a very good product,planters remains a very good product,[]
There was a lot of broken bits in the bottom of the can and the fine dust.,5,there was a lot of broken bits in the bottom of the can and the fine dust ,there was a lot of broken bits in the bottom of the can and the fine dust,[]
What can I say â€¦. Delicious cashews,5,what can i say      delicious cashews,what can i say delicious cashews,[]
This one was crushed,2,this one was crushed,this one was crushed,[]
it is a little bit too sweet for me,4,it is a little bit too sweet for me,it is a little bit too sweet for me,[]
What a poor tasting wafer. I suggest not buying these.,2,what a poor tasting wafer  i suggest not buying these ,what a poor tasting wafer i suggest not buying these,[]
Great price. I have them in my subscribe and save. It's a littl4 gift to myself once a month.,5,great price  i have them in my subscribe and save  it s a littl gift to myself once a month ,great price i have them in my subscribe and save it s a littl gift to myself once a month,[]
"The price is amazing! Unbelievable and it taste really good! If youâ€™re from the Caribbean and you like eating the â€œbridgeâ€ snack, this taste just like it! Itâ€™s like a vanilla waffle cone snack, low key taste like icecream waffle lol  but yeah you should buy, kinda has crumbs when youâ€™re eating, not a lot though. It doesnâ€™t break away when youâ€™re eating itâ€™s sturdy which is good, came well packaged , I also got for my family and they loved it, kids and adults, it has a nice little crunch to it, itâ€™s not tough and itâ€™s not hard itâ€™s just right. Itâ€™s not like a crackers though and itâ€™s not a biscuit but itâ€™s a nice snack.",5,the price is amazing  unbelievable and it taste really good  if you   re from the caribbean and you like eating the    bridge    snack  this taste just like it  it   s like a vanilla waffle cone snack  low key taste like icecream waffle lol  but yeah you should buy  kinda has crumbs when you   re eating  not a lot though  it doesn   t break away when you   re eating it   s sturdy which is good  came well packaged   i also got for my family and they loved it  kids and adults  it has a nice little crunch to it  it   s not tough and it   s not hard it   s just right  it   s not like a crackers though and it   s not a biscuit but it   s a nice snack ,the price is amazing unbelievable and it taste really good if you re from the caribbean and you like eating the bridge snack this taste just like it it s like a vanilla waffle cone snack low key taste like icecream waffle laughing out loud but yeah you should buy kinda has crumbs when you re eating not a lot though it doesn t break away when you re eating it s sturdy which is good came well packaged i also got for my family and they loved it kids and adults it has a nice little crunch to it it s not tough and it s not hard it s just right it s not like a crackers though and it s not a biscuit but it s a nice snack,['lol']
"This vanilla flavored wafer is average!  It's not very sweet, it smells like vanilla, and the taste is so-so. The packaging is different from the supermarket, and it doesn't taste as delicious as the previous supermarket packaging. The price is also cheap.",2,this vanilla flavored wafer is average   it s not very sweet  it smells like vanilla  and the taste is so so  the packaging is different from the supermarket  and it doesn t taste as delicious as the previous supermarket packaging  the price is also cheap ,this vanilla flavored wafer is average it s not very sweet it smells like vanilla and the taste is so so the packaging is different from the supermarket and it doesn t taste as delicious as the previous supermarket packaging the price is also cheap,[]
Too waxy in taste and how it made our mouths feel.,1,too waxy in taste and how it made our mouths feel ,too waxy in taste and how it made our mouths feel,[]
I've had similar products from other brands at the same price so I tried these. Reminds me of rice cakes with a whiff of coconut.,1,i ve had similar products from other brands at the same price so i tried these  reminds me of rice cakes with a whiff of coconut ,i ve had similar products from other brands at the same price so i tried these reminds me of rice cakes with a whiff of coconut,[]
"Fresh , delicious and easy open pull tab at one end of package. Not resealable but I stored them in a container I have . I definitely will continue buying these wafers . Was shocked how fresh , delicious & creamy vanilla wafers are .",5,fresh   delicious and easy open pull tab at one end of package  not resealable but i stored them in a container i have   i definitely will continue buying these wafers   was shocked how fresh   delicious   creamy vanilla wafers are  ,fresh delicious and easy open pull tab at one end of package not resealable but i stored them in a container i have i definitely will continue buying these wafers was shocked how fresh delicious creamy vanilla wafers are,[]
