,text,final_label,tokenized,stopword_remove,steming_data
10,they aren t very soft but taste good,Positive,"['they', 'aren', 't', 'very', 'soft', 'but', 'taste', 'good']","['soft', 'taste', 'good']","['soft', 'tast', 'good']"
11,i have always loved these as much as my kids i ve included them in care packages for the homeless as well i am done with these after buying enough of these large boxes of assorted fruit flavor snacks o ly to throw away if them because i cannot stand the carrot flavored ones and i m sorry but i guess i missed the part in nutrition class about carrot being a fruit wow this is unacceptable and i want so much money back,Negative,"['i', 'have', 'always', 'loved', 'these', 'as', 'much', 'as', 'my', 'kids', 'i', 've', 'included', 'them', 'in', 'care', 'packages', 'for', 'the', 'homeless', 'as', 'well', 'i', 'am', 'done', 'with', 'these', 'after', 'buying', 'enough', 'of', 'these', 'large', 'boxes', 'of', 'assorted', 'fruit', 'flavor', 'snacks', 'o', 'ly', 'to', 'throw', 'away', 'if', 'them', 'because', 'i', 'cannot', 'stand', 'the', 'carrot', 'flavored', 'ones', 'and', 'i', 'm', 'sorry', 'but', 'i', 'guess', 'i', 'missed', 'the', 'part', 'in', 'nutrition', 'class', 'about', 'carrot', 'being', 'a', 'fruit', 'wow', 'this', 'is', 'unacceptable', 'and', 'i', 'want', 'so', 'much', 'money', 'back']","['always', 'loved', 'much', 'kids', 'included', 'care', 'packages', 'homeless', 'well', 'done', 'buying', 'enough', 'large', 'boxes', 'assorted', 'fruit', 'flavor', 'snacks', 'ly', 'throw', 'away', 'cannot', 'stand', 'carrot', 'flavored', 'ones', 'sorry', 'guess', 'missed', 'part', 'nutrition', 'class', 'carrot', 'fruit', 'wow', 'unacceptable', 'want', 'much', 'money', 'back']","['alway', 'love', 'much', 'kid', 'includ', 'care', 'packag', 'homeless', 'well', 'done', 'buy', 'enough', 'larg', 'box', 'assort', 'fruit', 'flavor', 'snack', 'ly', 'throw', 'away', 'cannot', 'stand', 'carrot', 'flavor', 'one', 'sorri', 'guess', 'miss', 'part', 'nutrit', 'class', 'carrot', 'fruit', 'wow', 'unaccept', 'want', 'much', 'money', 'back']"
12,these are so much more healthy than reaching for candy when you want something sweet they aren t sweet though just flavorful,Positive,"['these', 'are', 'so', 'much', 'more', 'healthy', 'than', 'reaching', 'for', 'candy', 'when', 'you', 'want', 'something', 'sweet', 'they', 'aren', 't', 'sweet', 'though', 'just', 'flavorful']","['much', 'healthy', 'reaching', 'candy', 'want', 'something', 'sweet', 'sweet', 'though', 'flavorful']","['much', 'healthi', 'reach', 'candi', 'want', 'someth', 'sweet', 'sweet', 'though', 'flavor']"
13,kids love them everyone loves them always tasty and don t taste artificial like some brands you would be able to tell the difference in a blind fold test,Positive,"['kids', 'love', 'them', 'everyone', 'loves', 'them', 'always', 'tasty', 'and', 'don', 't', 'taste', 'artificial', 'like', 'some', 'brands', 'you', 'would', 'be', 'able', 'to', 'tell', 'the', 'difference', 'in', 'a', 'blind', 'fold', 'test']","['kids', 'love', 'everyone', 'loves', 'always', 'tasty', 'taste', 'artificial', 'like', 'brands', 'would', 'able', 'tell', 'difference', 'blind', 'fold', 'test']","['kid', 'love', 'everyon', 'love', 'alway', 'tasti', 'tast', 'artifici', 'like', 'brand', 'would', 'abl', 'tell', 'differ', 'blind', 'fold', 'test']"
14,grab and go for the summer ball games,Neutral,"['grab', 'and', 'go', 'for', 'the', 'summer', 'ball', 'games']","['grab', 'go', 'summer', 'ball', 'games']","['grab', 'go', 'summer', 'ball', 'game']"
15,they really are very flavorful and the portions are great i like to keep something with me at all times just in case of a sugar crash and these are perfect for it,Positive,"['they', 'really', 'are', 'very', 'flavorful', 'and', 'the', 'portions', 'are', 'great', 'i', 'like', 'to', 'keep', 'something', 'with', 'me', 'at', 'all', 'times', 'just', 'in', 'case', 'of', 'a', 'sugar', 'crash', 'and', 'these', 'are', 'perfect', 'for', 'it']","['really', 'flavorful', 'portions', 'great', 'like', 'keep', 'something', 'times', 'case', 'sugar', 'crash', 'perfect']","['realli', 'flavor', 'portion', 'great', 'like', 'keep', 'someth', 'time', 'case', 'sugar', 'crash', 'perfect']"
16,my family loves these the fruit snacks are very fresh soft with great flavors and not stuck together the portion sizes are perfect too,Positive,"['my', 'family', 'loves', 'these', 'the', 'fruit', 'snacks', 'are', 'very', 'fresh', 'soft', 'with', 'great', 'flavors', 'and', 'not', 'stuck', 'together', 'the', 'portion', 'sizes', 'are', 'perfect', 'too']","['family', 'loves', 'fruit', 'snacks', 'fresh', 'soft', 'great', 'flavors', 'stuck', 'together', 'portion', 'sizes', 'perfect']","['famili', 'love', 'fruit', 'snack', 'fresh', 'soft', 'great', 'flavor', 'stuck', 'togeth', 'portion', 'size', 'perfect']"
17,big and cheap no complaints and as expected flavor same as the store,Positive,"['big', 'and', 'cheap', 'no', 'complaints', 'and', 'as', 'expected', 'flavor', 'same', 'as', 'the', 'store']","['big', 'cheap', 'complaints', 'expected', 'flavor', 'store']","['big', 'cheap', 'complaint', 'expect', 'flavor', 'store']"
18,fresh tasting soft and chewy,Positive,"['fresh', 'tasting', 'soft', 'and', 'chewy']","['fresh', 'tasting', 'soft', 'chewy']","['fresh', 'tast', 'soft', 'chewi']"
19,good treat,Positive,"['good', 'treat']","['good', 'treat']","['good', 'treat']"
20,stale chips and no air in the bags and only a partial refund don t buy,Negative,"['stale', 'chips', 'and', 'no', 'air', 'in', 'the', 'bags', 'and', 'only', 'a', 'partial', 'refund', 'don', 't', 'buy']","['stale', 'chips', 'air', 'bags', 'partial', 'refund', 'buy']","['stale', 'chip', 'air', 'bag', 'partial', 'refund', 'buy']"
21,i buy these regularly for my kiddos because they insist the little bags taste better than the big bag but at least i can get the little bags at a decent price i agree they are always fresh and this ends up being a great buy and easier to travel with the smaller bags too,Positive,"['i', 'buy', 'these', 'regularly', 'for', 'my', 'kiddos', 'because', 'they', 'insist', 'the', 'little', 'bags', 'taste', 'better', 'than', 'the', 'big', 'bag', 'but', 'at', 'least', 'i', 'can', 'get', 'the', 'little', 'bags', 'at', 'a', 'decent', 'price', 'i', 'agree', 'they', 'are', 'always', 'fresh', 'and', 'this', 'ends', 'up', 'being', 'a', 'great', 'buy', 'and', 'easier', 'to', 'travel', 'with', 'the', 'smaller', 'bags', 'too']","['buy', 'regularly', 'kiddos', 'insist', 'little', 'bags', 'taste', 'better', 'big', 'bag', 'least', 'get', 'little', 'bags', 'decent', 'price', 'agree', 'always', 'fresh', 'ends', 'great', 'buy', 'easier', 'travel', 'smaller', 'bags']","['buy', 'regularli', 'kiddo', 'insist', 'littl', 'bag', 'tast', 'better', 'big', 'bag', 'least', 'get', 'littl', 'bag', 'decent', 'price', 'agre', 'alway', 'fresh', 'end', 'great', 'buy', 'easier', 'travel', 'smaller', 'bag']"
22,perfect size and a good price great for lunches for kids or parties or a beach day,Positive,"['perfect', 'size', 'and', 'a', 'good', 'price', 'great', 'for', 'lunches', 'for', 'kids', 'or', 'parties', 'or', 'a', 'beach', 'day']","['perfect', 'size', 'good', 'price', 'great', 'lunches', 'kids', 'parties', 'beach', 'day']","['perfect', 'size', 'good', 'price', 'great', 'lunch', 'kid', 'parti', 'beach', 'day']"
23,product expires next month not fresh at all,Negative,"['product', 'expires', 'next', 'month', 'not', 'fresh', 'at', 'all']","['product', 'expires', 'next', 'month', 'fresh']","['product', 'expir', 'next', 'month', 'fresh']"
24,i ordered these in mid may for a graduation party memorial day weekend they expired in april,Neutral,"['i', 'ordered', 'these', 'in', 'mid', 'may', 'for', 'a', 'graduation', 'party', 'memorial', 'day', 'weekend', 'they', 'expired', 'in', 'april']","['ordered', 'mid', 'may', 'graduation', 'party', 'memorial', 'day', 'weekend', 'expired', 'april']","['order', 'mid', 'may', 'graduat', 'parti', 'memori', 'day', 'weekend', 'expir', 'april']"
25,the chips were stalled,Neutral,"['the', 'chips', 'were', 'stalled']","['chips', 'stalled']","['chip', 'stall']"
26,i like the price of them and good for school lunch,Positive,"['i', 'like', 'the', 'price', 'of', 'them', 'and', 'good', 'for', 'school', 'lunch']","['like', 'price', 'good', 'school', 'lunch']","['like', 'price', 'good', 'school', 'lunch']"
27,most of the chips are just plain tortilla chips there s so little seasoning in these that eating a bag becomes disappointing every maybe in five or six bags there will be a decently seasoned chip,Negative,"['most', 'of', 'the', 'chips', 'are', 'just', 'plain', 'tortilla', 'chips', 'there', 's', 'so', 'little', 'seasoning', 'in', 'these', 'that', 'eating', 'a', 'bag', 'becomes', 'disappointing', 'every', 'maybe', 'in', 'five', 'or', 'six', 'bags', 'there', 'will', 'be', 'a', 'decently', 'seasoned', 'chip']","['chips', 'plain', 'tortilla', 'chips', 'little', 'seasoning', 'eating', 'bag', 'becomes', 'disappointing', 'every', 'maybe', 'five', 'six', 'bags', 'decently', 'seasoned', 'chip']","['chip', 'plain', 'tortilla', 'chip', 'littl', 'season', 'eat', 'bag', 'becom', 'disappoint', 'everi', 'mayb', 'five', 'six', 'bag', 'decent', 'season', 'chip']"
28,get in ma belly dang these bags are perfect for anytime snacking in kids lunches picnics you name it only suggestion is to hide box or you can kiss your summer bod goodbye well packaged fresh perfect on the go size,Positive,"['get', 'in', 'ma', 'belly', 'dang', 'these', 'bags', 'are', 'perfect', 'for', 'anytime', 'snacking', 'in', 'kids', 'lunches', 'picnics', 'you', 'name', 'it', 'only', 'suggestion', 'is', 'to', 'hide', 'box', 'or', 'you', 'can', 'kiss', 'your', 'summer', 'bod', 'goodbye', 'well', 'packaged', 'fresh', 'perfect', 'on', 'the', 'go', 'size']","['get', 'belly', 'dang', 'bags', 'perfect', 'anytime', 'snacking', 'kids', 'lunches', 'picnics', 'name', 'suggestion', 'hide', 'box', 'kiss', 'summer', 'bod', 'goodbye', 'well', 'packaged', 'fresh', 'perfect', 'go', 'size']","['get', 'belli', 'dang', 'bag', 'perfect', 'anytim', 'snack', 'kid', 'lunch', 'picnic', 'name', 'suggest', 'hide', 'box', 'kiss', 'summer', 'bod', 'goodby', 'well', 'packag', 'fresh', 'perfect', 'go', 'size']"
29,this last order we got majority of the bags were deflated and stale,Negative,"['this', 'last', 'order', 'we', 'got', 'majority', 'of', 'the', 'bags', 'were', 'deflated', 'and', 'stale']","['last', 'order', 'got', 'majority', 'bags', 'deflated', 'stale']","['last', 'order', 'got', 'major', 'bag', 'deflat', 'stale']"
30,my smart pop popcorn was stale i was hoping it was just the first bag but the others that were eaten were stale also i had purchased them for a camping trip and after friends had first bag no one wanted another,Negative,"['my', 'smart', 'pop', 'popcorn', 'was', 'stale', 'i', 'was', 'hoping', 'it', 'was', 'just', 'the', 'first', 'bag', 'but', 'the', 'others', 'that', 'were', 'eaten', 'were', 'stale', 'also', 'i', 'had', 'purchased', 'them', 'for', 'a', 'camping', 'trip', 'and', 'after', 'friends', 'had', 'first', 'bag', 'no', 'one', 'wanted', 'another']","['smart', 'pop', 'popcorn', 'stale', 'hoping', 'first', 'bag', 'others', 'eaten', 'stale', 'also', 'purchased', 'camping', 'trip', 'friends', 'first', 'bag', 'one', 'wanted', 'another']","['smart', 'pop', 'popcorn', 'stale', 'hope', 'first', 'bag', 'other', 'eaten', 'stale', 'also', 'purchas', 'camp', 'trip', 'friend', 'first', 'bag', 'one', 'want', 'anoth']"
31,i love this low calorie tasty satisfying popcorn makes a great snack for anyone counting calories,Positive,"['i', 'love', 'this', 'low', 'calorie', 'tasty', 'satisfying', 'popcorn', 'makes', 'a', 'great', 'snack', 'for', 'anyone', 'counting', 'calories']","['love', 'low', 'calorie', 'tasty', 'satisfying', 'popcorn', 'makes', 'great', 'snack', 'anyone', 'counting', 'calories']","['love', 'low', 'calori', 'tasti', 'satisfi', 'popcorn', 'make', 'great', 'snack', 'anyon', 'count', 'calori']"
32,i like the quality of the popcorn and the perfect portion packaging,Positive,"['i', 'like', 'the', 'quality', 'of', 'the', 'popcorn', 'and', 'the', 'perfect', 'portion', 'packaging']","['like', 'quality', 'popcorn', 'perfect', 'portion', 'packaging']","['like', 'qualiti', 'popcorn', 'perfect', 'portion', 'packag']"
33,the first boxes of were fine but this time of the bags were open on the bottom and there was some loose stale popcorn in the box there was no damage to the box so this must have happened at the factory the white cheddar popcorn is awesome but it s not worth it if i can t count on receiving edible product,Neutral,"['the', 'first', 'boxes', 'of', 'were', 'fine', 'but', 'this', 'time', 'of', 'the', 'bags', 'were', 'open', 'on', 'the', 'bottom', 'and', 'there', 'was', 'some', 'loose', 'stale', 'popcorn', 'in', 'the', 'box', 'there', 'was', 'no', 'damage', 'to', 'the', 'box', 'so', 'this', 'must', 'have', 'happened', 'at', 'the', 'factory', 'the', 'white', 'cheddar', 'popcorn', 'is', 'awesome', 'but', 'it', 's', 'not', 'worth', 'it', 'if', 'i', 'can', 't', 'count', 'on', 'receiving', 'edible', 'product']","['first', 'boxes', 'fine', 'time', 'bags', 'open', 'bottom', 'loose', 'stale', 'popcorn', 'box', 'damage', 'box', 'must', 'happened', 'factory', 'white', 'cheddar', 'popcorn', 'awesome', 'worth', 'count', 'receiving', 'edible', 'product']","['first', 'box', 'fine', 'time', 'bag', 'open', 'bottom', 'loos', 'stale', 'popcorn', 'box', 'damag', 'box', 'must', 'happen', 'factori', 'white', 'cheddar', 'popcorn', 'awesom', 'worth', 'count', 'receiv', 'edibl', 'product']"
34,arrived as stated bags were not crushed it s a favorite snack at my house low in calories and personal size bags are perfect,Positive,"['arrived', 'as', 'stated', 'bags', 'were', 'not', 'crushed', 'it', 's', 'a', 'favorite', 'snack', 'at', 'my', 'house', 'low', 'in', 'calories', 'and', 'personal', 'size', 'bags', 'are', 'perfect']","['arrived', 'stated', 'bags', 'crushed', 'favorite', 'snack', 'house', 'low', 'calories', 'personal', 'size', 'bags', 'perfect']","['arriv', 'state', 'bag', 'crush', 'favorit', 'snack', 'hous', 'low', 'calori', 'person', 'size', 'bag', 'perfect']"
35,i have ordered this popcorn a few times i enjoy the flavor not to bad on carbs either the low rating is due to the dollar price increase i understand prices will go up but not by bucks overnight i will not order from this seller again unless they decide to go back down on the huge price increase,Positive,"['i', 'have', 'ordered', 'this', 'popcorn', 'a', 'few', 'times', 'i', 'enjoy', 'the', 'flavor', 'not', 'to', 'bad', 'on', 'carbs', 'either', 'the', 'low', 'rating', 'is', 'due', 'to', 'the', 'dollar', 'price', 'increase', 'i', 'understand', 'prices', 'will', 'go', 'up', 'but', 'not', 'by', 'bucks', 'overnight', 'i', 'will', 'not', 'order', 'from', 'this', 'seller', 'again', 'unless', 'they', 'decide', 'to', 'go', 'back', 'down', 'on', 'the', 'huge', 'price', 'increase']","['ordered', 'popcorn', 'times', 'enjoy', 'flavor', 'bad', 'carbs', 'either', 'low', 'rating', 'due', 'dollar', 'price', 'increase', 'understand', 'prices', 'go', 'bucks', 'overnight', 'order', 'seller', 'unless', 'decide', 'go', 'back', 'huge', 'price', 'increase']","['order', 'popcorn', 'time', 'enjoy', 'flavor', 'bad', 'carb', 'either', 'low', 'rate', 'due', 'dollar', 'price', 'increas', 'understand', 'price', 'go', 'buck', 'overnight', 'order', 'seller', 'unless', 'decid', 'go', 'back', 'huge', 'price', 'increas']"
36,they arrived in may guaranteed fresh until july we opened the carton they are stale,Neutral,"['they', 'arrived', 'in', 'may', 'guaranteed', 'fresh', 'until', 'july', 'we', 'opened', 'the', 'carton', 'they', 'are', 'stale']","['arrived', 'may', 'guaranteed', 'fresh', 'july', 'opened', 'carton', 'stale']","['arriv', 'may', 'guarante', 'fresh', 'juli', 'open', 'carton', 'stale']"
37,ad shows a sea salt variety none misleading,Neutral,"['ad', 'shows', 'a', 'sea', 'salt', 'variety', 'none', 'misleading']","['ad', 'shows', 'sea', 'salt', 'variety', 'none', 'misleading']","['ad', 'show', 'sea', 'salt', 'varieti', 'none', 'mislead']"
38,the box it came in was busted half of the bags were busted not eligible for refund,Negative,"['the', 'box', 'it', 'came', 'in', 'was', 'busted', 'half', 'of', 'the', 'bags', 'were', 'busted', 'not', 'eligible', 'for', 'refund']","['box', 'came', 'busted', 'half', 'bags', 'busted', 'eligible', 'refund']","['box', 'came', 'bust', 'half', 'bag', 'bust', 'elig', 'refund']"
39,as always this cheese flavored popcorn never disappoints this particular item comes with small personal sized bags which is perfect to keep yourself to a predetermined amount share with others or for ease of storage highly recommend i ve bought multiple times before and will be buying again,Positive,"['as', 'always', 'this', 'cheese', 'flavored', 'popcorn', 'never', 'disappoints', 'this', 'particular', 'item', 'comes', 'with', 'small', 'personal', 'sized', 'bags', 'which', 'is', 'perfect', 'to', 'keep', 'yourself', 'to', 'a', 'predetermined', 'amount', 'share', 'with', 'others', 'or', 'for', 'ease', 'of', 'storage', 'highly', 'recommend', 'i', 've', 'bought', 'multiple', 'times', 'before', 'and', 'will', 'be', 'buying', 'again']","['always', 'cheese', 'flavored', 'popcorn', 'never', 'disappoints', 'particular', 'item', 'comes', 'small', 'personal', 'sized', 'bags', 'perfect', 'keep', 'predetermined', 'amount', 'share', 'others', 'ease', 'storage', 'highly', 'recommend', 'bought', 'multiple', 'times', 'buying']","['alway', 'chees', 'flavor', 'popcorn', 'never', 'disappoint', 'particular', 'item', 'come', 'small', 'person', 'size', 'bag', 'perfect', 'keep', 'predetermin', 'amount', 'share', 'other', 'eas', 'storag', 'highli', 'recommend', 'bought', 'multipl', 'time', 'buy']"
40,i received the chips on may th and they expire on july th the chips were a little stale but still ok to eat guess i ll be eating these up quickly honestly you shouldn t sell chips in this quantity with expiration dates so close to the purchase date,Negative,"['i', 'received', 'the', 'chips', 'on', 'may', 'th', 'and', 'they', 'expire', 'on', 'july', 'th', 'the', 'chips', 'were', 'a', 'little', 'stale', 'but', 'still', 'ok', 'to', 'eat', 'guess', 'i', 'll', 'be', 'eating', 'these', 'up', 'quickly', 'honestly', 'you', 'shouldn', 't', 'sell', 'chips', 'in', 'this', 'quantity', 'with', 'expiration', 'dates', 'so', 'close', 'to', 'the', 'purchase', 'date']","['received', 'chips', 'may', 'th', 'expire', 'july', 'th', 'chips', 'little', 'stale', 'still', 'eat', 'guess', 'eating', 'quickly', 'honestly', 'sell', 'chips', 'quantity', 'expiration', 'dates', 'close', 'purchase', 'date']","['receiv', 'chip', 'may', 'th', 'expir', 'juli', 'th', 'chip', 'littl', 'stale', 'still', 'eat', 'guess', 'eat', 'quickli', 'honestli', 'sell', 'chip', 'quantiti', 'expir', 'date', 'close', 'purchas', 'date']"
41,a huge waste of plastic etc very bad for the earth and for health but at least i don t end up eating a whole party size bag ymmv,Negative,"['a', 'huge', 'waste', 'of', 'plastic', 'etc', 'very', 'bad', 'for', 'the', 'earth', 'and', 'for', 'health', 'but', 'at', 'least', 'i', 'don', 't', 'end', 'up', 'eating', 'a', 'whole', 'party', 'size', 'bag', 'ymmv']","['huge', 'waste', 'plastic', 'etc', 'bad', 'earth', 'health', 'least', 'end', 'eating', 'whole', 'party', 'size', 'bag', 'ymmv']","['huge', 'wast', 'plastic', 'etc', 'bad', 'earth', 'health', 'least', 'end', 'eat', 'whole', 'parti', 'size', 'bag', 'ymmv']"
42,the chips arrived an they expire july i just got them may i am very disappointed they are stale,Negative,"['the', 'chips', 'arrived', 'an', 'they', 'expire', 'july', 'i', 'just', 'got', 'them', 'may', 'i', 'am', 'very', 'disappointed', 'they', 'are', 'stale']","['chips', 'arrived', 'expire', 'july', 'got', 'may', 'disappointed', 'stale']","['chip', 'arriv', 'expir', 'juli', 'got', 'may', 'disappoint', 'stale']"
43,i recieved my order on may best buy purchase date was may that is unexceptable very diapointed,Neutral,"['i', 'recieved', 'my', 'order', 'on', 'may', 'best', 'buy', 'purchase', 'date', 'was', 'may', 'that', 'is', 'unexceptable', 'very', 'diapointed']","['recieved', 'order', 'may', 'best', 'buy', 'purchase', 'date', 'may', 'unexceptable', 'diapointed']","['reciev', 'order', 'may', 'best', 'buy', 'purchas', 'date', 'may', 'unexcept', 'diapoint']"
44,just threw out an order that expired years ago i have another one expiring in a month,Negative,"['just', 'threw', 'out', 'an', 'order', 'that', 'expired', 'years', 'ago', 'i', 'have', 'another', 'one', 'expiring', 'in', 'a', 'month']","['threw', 'order', 'expired', 'years', 'ago', 'another', 'one', 'expiring', 'month']","['threw', 'order', 'expir', 'year', 'ago', 'anoth', 'one', 'expir', 'month']"
45,they taste old waste of money,Negative,"['they', 'taste', 'old', 'waste', 'of', 'money']","['taste', 'old', 'waste', 'money']","['tast', 'old', 'wast', 'money']"
46,today is i just ate a pack of these with date crisp no rancid oil yummy buy and enjoy i will add that i store them in a cool about f dark place darkness is from storing in shipping box flaps closed i buy my food this is not a freebie for review situation i just noticed so many concerns about the dates hope this helps,Positive,"['today', 'is', 'i', 'just', 'ate', 'a', 'pack', 'of', 'these', 'with', 'date', 'crisp', 'no', 'rancid', 'oil', 'yummy', 'buy', 'and', 'enjoy', 'i', 'will', 'add', 'that', 'i', 'store', 'them', 'in', 'a', 'cool', 'about', 'f', 'dark', 'place', 'darkness', 'is', 'from', 'storing', 'in', 'shipping', 'box', 'flaps', 'closed', 'i', 'buy', 'my', 'food', 'this', 'is', 'not', 'a', 'freebie', 'for', 'review', 'situation', 'i', 'just', 'noticed', 'so', 'many', 'concerns', 'about', 'the', 'dates', 'hope', 'this', 'helps']","['today', 'ate', 'pack', 'date', 'crisp', 'rancid', 'oil', 'yummy', 'buy', 'enjoy', 'add', 'store', 'cool', 'f', 'dark', 'place', 'darkness', 'storing', 'shipping', 'box', 'flaps', 'closed', 'buy', 'food', 'freebie', 'review', 'situation', 'noticed', 'many', 'concerns', 'dates', 'hope', 'helps']","['today', 'ate', 'pack', 'date', 'crisp', 'rancid', 'oil', 'yummi', 'buy', 'enjoy', 'add', 'store', 'cool', 'f', 'dark', 'place', 'dark', 'store', 'ship', 'box', 'flap', 'close', 'buy', 'food', 'freebi', 'review', 'situat', 'notic', 'mani', 'concern', 'date', 'hope', 'help']"
47,love this just enough,Positive,"['love', 'this', 'just', 'enough']","['love', 'enough']","['love', 'enough']"
48,i love these but there was less than a month before the best by date when received not only that but this order i ve got them on subscribe and save tasted of rancid oil not sure if that s a function of the date or if it was just a bad batch but this order was inedible,Negative,"['i', 'love', 'these', 'but', 'there', 'was', 'less', 'than', 'a', 'month', 'before', 'the', 'best', 'by', 'date', 'when', 'received', 'not', 'only', 'that', 'but', 'this', 'order', 'i', 've', 'got', 'them', 'on', 'subscribe', 'and', 'save', 'tasted', 'of', 'rancid', 'oil', 'not', 'sure', 'if', 'that', 's', 'a', 'function', 'of', 'the', 'date', 'or', 'if', 'it', 'was', 'just', 'a', 'bad', 'batch', 'but', 'this', 'order', 'was', 'inedible']","['love', 'less', 'month', 'best', 'date', 'received', 'order', 'got', 'subscribe', 'save', 'tasted', 'rancid', 'oil', 'sure', 'function', 'date', 'bad', 'batch', 'order', 'inedible']","['love', 'less', 'month', 'best', 'date', 'receiv', 'order', 'got', 'subscrib', 'save', 'tast', 'rancid', 'oil', 'sure', 'function', 'date', 'bad', 'batch', 'order', 'ined']"
49,about bags were already opened it looked like they might have gotten cut in the box,Neutral,"['about', 'bags', 'were', 'already', 'opened', 'it', 'looked', 'like', 'they', 'might', 'have', 'gotten', 'cut', 'in', 'the', 'box']","['bags', 'already', 'opened', 'looked', 'like', 'might', 'gotten', 'cut', 'box']","['bag', 'alreadi', 'open', 'look', 'like', 'might', 'gotten', 'cut', 'box']"
50,my favorite for many years,Positive,"['my', 'favorite', 'for', 'many', 'years']","['favorite', 'many', 'years']","['favorit', 'mani', 'year']"
